case_id,confidence_primary,confidence_secondary,primary_delta_author_trust,primary_delta_blocker_recall_and_correctness,primary_delta_disconfirmation_and_evidence,primary_delta_exact_localization,primary_delta_false_positive_control,primary_delta_lifecycle_awareness,primary_delta_priority_and_merge_action,primary_delta_public_readability,primary_delta_qa_feasibility,primary_delta_repairability,primary_delta_scope_discipline,primary_delta_useful_non_blocking_value,primary_total_delta,primary_total_new,primary_total_old,run,secondary_delta_author_trust,secondary_delta_blocker_recall_and_correctness,secondary_delta_disconfirmation_and_evidence,secondary_delta_exact_localization,secondary_delta_false_positive_control,secondary_delta_lifecycle_awareness,secondary_delta_priority_and_merge_action,secondary_delta_public_readability,secondary_delta_qa_feasibility,secondary_delta_repairability,secondary_delta_scope_discipline,secondary_delta_useful_non_blocking_value,secondary_total_delta,secondary_total_new,secondary_total_old,stage,winner_primary,winner_secondary
014-01-kubernetes_rollout-initial_preview,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,40.0,1,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,33.0,34.0,stage2-official,new_skill,tie
015-01-package_manager_migration-initial_preview,medium,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,39.0,41.0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,27.0,28.0,stage2-official,tie,tie
016-01-dependency_major_upgrade-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,38.0,stage2-official,tie,tie
017-01-api_additive_field-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,36.0,33.0,stage2-official,tie,new_skill
018-01-api_required_field_break-initial_preview,low,medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,2.0,43.0,41.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,stage2-official,new_skill,tie
019-01-event_payload_rename-initial_preview,medium,low,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,41.0,1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-4.0,33.0,37.0,stage2-official,tie,old_prompt
020-01-sdk_method_addition-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,33.0,34.0,stage2-official,tie,tie
021-01-cli_flag_semantics-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,29.0,27.0,stage2-official,tie,tie
022-01-manifest_classifier_drift-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,25.0,23.0,stage2-official,tie,tie
023-01-generated_client_version_skew-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,stage2-official,tie,tie
024-01-static_import_missing_artifact-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,33.0,stage2-official,tie,tie
025-01-nullable_column_add-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,41.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,38.0,34.0,stage2-official,tie,new_skill
026-01-not_null_before_backfill-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,32.0,29.0,stage2-official,tie,new_skill
027-01-destructive_column_drop-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,stage2-official,tie,tie
028-01-dual_read_write_window-initial_preview,low,low,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,41.0,40.0,1,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,5.0,32.0,27.0,stage2-official,new_skill,new_skill
029-01-backfill_idempotency-initial_preview,low,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,41.0,38.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,27.0,stage2-official,new_skill,new_skill
030-01-data_retention_policy-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-3.0,26.0,29.0,stage2-official,tie,old_prompt
031-01-schema_default_change-initial_preview,low,low,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,2.0,41.0,39.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,2.0,30.0,28.0,stage2-official,new_skill,new_skill
032-01-rollback_only_migration-initial_preview,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,38.0,34.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,30.0,31.0,stage2-official,new_skill,tie
034-01-authentication_session_fix-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,29.0,30.0,stage2-official,tie,tie
035-01-tenant_cache_leak-initial_preview,medium,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,stage2-official,tie,tie
036-01-audit_event_gap-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,44.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0,34.0,stage2-official,tie,tie
038-01-secret_in_build_log-initial_preview,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,42.0,38.0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,-1.0,0.0,-1.0,36.0,37.0,stage2-official,new_skill,tie
039-01-privacy_field_exposure-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,39.0,39.0,stage2-official,tie,tie
040-01-rate_limit_boundary-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,41.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,-4.0,32.0,36.0,stage2-official,tie,old_prompt
041-01-webhook_idempotency-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,46.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,27.0,stage2-official,tie,new_skill
042-01-queue_retry_poison_message-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,33.0,35.0,stage2-official,tie,old_prompt
043-01-cache_key_scope-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,tie,tie
044-01-race_condition_ui_state-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,33.0,34.0,stage2-official,tie,tie
045-01-transaction_partial_failure-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,29.0,26.0,stage2-official,tie,new_skill
046-01-stale_cache_after_transfer-initial_preview,medium,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,39.0,41.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,36.0,35.0,stage2-official,tie,tie
047-01-job_resume_checkpoint-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,28.0,29.0,stage2-official,tie,tie
048-01-observability_new_failure-initial_preview,medium,medium,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,43.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,30.0,stage2-official,tie,tie
049-01-n_plus_one_query-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,29.0,stage2-official,tie,tie
050-01-bundle_size_regression-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,40.0,41.0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,-5.0,27.0,32.0,stage2-official,tie,old_prompt
051-01-memory_retention_listener-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,21.0,21.0,stage2-official,tie,tie
052-01-algorithmic_complexity-initial_preview,low,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,43.0,39.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,31.0,27.0,stage2-official,new_skill,new_skill
053-01-parallelism_ordering_tradeoff-initial_preview,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,26.0,stage2-official,new_skill,tie
054-01-keyboard_disabled_action-initial_preview,low,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,40.0,37.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,stage2-official,new_skill,tie
055-01-focus_loss_modal-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,stage2-official,tie,tie
056-01-empty_state_copy-initial_preview,medium,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,stage2-official,tie,tie
057-01-undo_redo_state-initial_preview,low,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,43.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,34.0,stage2-official,new_skill,tie
058-01-preview_runtime_parity-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,34.0,35.0,stage2-official,tie,tie
059-01-screen_reader_label-initial_preview,medium,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,29.0,27.0,stage2-official,tie,new_skill
060-01-stale_selection_async-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28.0,27.0,stage2-official,tie,tie
061-01-localization_fallback-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,stage2-official,tie,tie
062-01-duplicate_business_rule-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,26.0,27.0,stage2-official,tie,tie
063-01-incidental_similarity-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,27.0,29.0,stage2-official,tie,tie
064-01-shallow_wrapper-initial_preview,low,medium,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,41.0,39.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,29.0,28.0,stage2-official,new_skill,tie
065-01-volatile_dependency_adapter-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,26.0,stage2-official,tie,tie
066-01-large_cohesive_module-initial_preview,medium,high,-1.0,-4.0,-1.0,-3.0,-2.0,-2.0,-4.0,-1.0,-4.0,-1.0,-2.0,-4.0,-29.0,16.0,45.0,1,-2.0,-3.0,-1.0,-3.0,-1.0,-2.0,-4.0,-1.0,-4.0,-3.0,-3.0,-4.0,-31.0,14.0,45.0,stage2-official,old_prompt,old_prompt
067-01-many_modes_state_space-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,stage2-official,tie,tie
068-01-agent_iteration_residue-initial_preview,low,low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,42.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,33.0,32.0,stage2-official,new_skill,new_skill
069-01-stale_feature_flag-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,stage2-official,tie,tie
070-01-dynamic_registry_dead_code-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,41.0,42.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,stage2-official,tie,tie
071-01-dependency_inflation-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,stage2-official,tie,tie
072-01-architecture_dependency_direction-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,44.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,stage2-official,tie,tie
073-01-generic_utils_dumping_ground-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,stage2-official,tie,tie
074-01-jsdom_browser_mismatch-initial_preview,medium,low,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,41.0,42.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,36.0,34.0,stage2-official,tie,new_skill
075-01-mocked_provider_contract-initial_preview,medium,low,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,26.0,27.0,stage2-official,tie,tie
076-01-invalid_fixture_shape-initial_preview,medium,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,41.0,42.0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,28.0,26.0,stage2-official,tie,tie
077-01-flaky_timer_test-initial_preview,medium,medium,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,40.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,34.0,29.0,stage2-official,tie,new_skill
078-01-missing_characterization_refactor-initial_preview,medium,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,stage2-official,tie,tie
079-01-generated_output_build_gap-initial_preview,low,low,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,43.0,41.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,new_skill,tie
080-01-stacked_feature_slice-initial_preview,,medium,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,27.0,28.0,stage2-official,,tie
082-01-incident_fix_repeat_pattern-initial_preview,,medium,,,,,,,,,,,,,,,,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,40.0,42.0,stage2-official,,tie
083-01-ownership_conflict-initial_preview,,high,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,,tie
021-01-cli_flag_semantics-initial_preview,,low,,,,,,,,,,,,,,,,2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,41.0,37.0,stage2-official,,new_skill
022-01-manifest_classifier_drift-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,27.0,29.0,stage2-official,,tie
023-01-generated_client_version_skew-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,32.0,33.0,stage2-official,,tie
024-01-static_import_missing_artifact-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-4.0,22.0,26.0,stage2-official,,tie
025-01-nullable_column_add-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.0,32.0,stage2-official,,tie
026-01-not_null_before_backfill-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,22.0,24.0,stage2-official,,tie
027-01-destructive_column_drop-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,stage2-official,,tie
028-01-dual_read_write_window-initial_preview,,low,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,30.0,27.0,stage2-official,,new_skill
029-01-backfill_idempotency-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,stage2-official,,tie
030-01-data_retention_policy-initial_preview,,high,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,23.0,24.0,stage2-official,,tie
031-01-schema_default_change-initial_preview,,low,,,,,,,,,,,,,,,,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,32.0,29.0,stage2-official,,new_skill
032-01-rollback_only_migration-initial_preview,,low,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,29.0,25.0,stage2-official,,new_skill
034-01-authentication_session_fix-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,33.0,35.0,stage2-official,,tie
035-01-tenant_cache_leak-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,,tie
036-01-audit_event_gap-initial_preview,,low,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,33.0,34.0,stage2-official,,tie
038-01-secret_in_build_log-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,40.0,37.0,stage2-official,,new_skill
039-01-privacy_field_exposure-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,stage2-official,,tie
040-01-rate_limit_boundary-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,,tie
041-01-webhook_idempotency-initial_preview,,high,,,,,,,,,,,,,,,,2,0.0,-4.0,-1.0,-3.0,0.0,-2.0,-4.0,-1.0,-4.0,-3.0,-2.0,-3.0,-27.0,17.0,44.0,stage2-official,,old_prompt
042-01-queue_retry_poison_message-initial_preview,,medium,,,,,,,,,,,,,,,,2,1.0,0.0,2.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,6.0,37.0,31.0,stage2-official,,new_skill
043-01-cache_key_scope-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,35.0,33.0,stage2-official,,tie
044-01-race_condition_ui_state-initial_preview,,high,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,stage2-official,,tie
045-01-transaction_partial_failure-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,stage2-official,,tie
046-01-stale_cache_after_transfer-initial_preview,,medium,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,stage2-official,,tie
047-01-job_resume_checkpoint-initial_preview,,high,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,stage2-official,,tie
